"기준년","대업종","중업종","규모","지방관서","공사금액","사업장수","근로자수"
2019,2,200,12,5000,J,66,440
2019,2,200,12,5010,J,117,769
2019,2,200,12,5110,J,197,1322
2019,2,200,12,5120,J,106,671
2019,2,200,12,5130,J,53,359
2019,2,200,12,5140,J,94,615
2019,2,200,12,5160,J,267,1795
2019,2,200,12,5170,J,94,611
2019,2,200,12,5180,J,123,820
2019,2,200,12,6000,J,200,1316
2019,2,200,12,6110,J,146,987
2019,2,200,12,6120,J,76,502
2019,2,200,12,6130,J,64,402
2019,2,200,12,6210,J,130,870
2019,2,200,12,6220,J,106,701
2019,2,200,12,6310,J,106,705
2019,2,200,12,7000,J,219,1458
2019,2,200,12,7110,J,185,1205
2019,2,200,12,7120,J,153,1000
2019,2,200,12,7210,J,139,955
2019,2,200,12,7220,J,99,653
2019,2,200,12,7230,J,31,192
2019,2,200,13,2000,J,13,170
2019,2,200,13,2010,J,11,145
2019,2,200,13,2020,J,50,664
2019,2,200,13,2030,J,6,85
2019,2,200,13,2040,J,13,184
2019,2,200,13,2050,J,21,278
2019,2,200,13,2060,J,24,322
2019,2,200,13,2070,J,179,2430
2019,2,200,13,2110,J,48,663
2019,2,200,13,2120,J,7,92
2019,2,200,13,2130,J,72,990
2019,2,200,13,2140,J,42,544
2019,2,200,13,2150,J,20,279
2019,2,200,13,3000,J,109,1504
2019,2,200,13,3010,J,35,460
2019,2,200,13,3020,J,50,688
2019,2,200,13,3110,J,51,680
2019,2,200,13,3120,J,32,417
2019,2,200,13,3130,J,94,1329
2019,2,200,13,3140,J,66,921
2019,2,200,13,3150,J,24,345
2019,2,200,13,4000,J,93,1209
2019,2,200,13,4010,J,69,938
2019,2,200,13,4110,J,46,624
2019,2,200,13,4120,J,30,402
2019,2,200,13,4130,J,43,553
2019,2,200,13,4140,J,37,471
2019,2,200,13,5000,J,61,805
2019,2,200,13,5010,J,72,975
2019,2,200,13,5110,J,156,2125
2019,2,200,13,5120,J,79,1052
2019,2,200,13,5130,J,43,592
2019,2,200,13,5140,J,50,714
2019,2,200,13,5160,J,217,3066
2019,2,200,13,5170,J,81,1145
2019,2,200,13,5180,J,84,1142
2019,2,200,13,6000,J,123,1685
2019,2,200,13,6110,J,112,1563
2019,2,200,13,6120,J,52,706
2019,2,200,13,6130,J,48,651
2019,2,200,13,6210,J,68,922
2019,2,200,13,6220,J,82,1137
2019,2,200,13,6310,J,78,1088
2019,2,200,13,7000,J,144,1931
2019,2,200,13,7110,J,154,2079
2019,2,200,13,7120,J,98,1376
2019,2,200,13,7210,J,87,1194
2019,2,200,13,7220,J,63,837
2019,2,200,13,7230,J,16,211
2019,2,200,21,2000,J,3,79
2019,2,200,21,2010,J,1,20
2019,2,200,21,2020,J,17,406
2019,2,200,21,2030,J,3,65
2019,2,200,21,2040,J,11,257
2019,2,200,21,2050,J,4,91
2019,2,200,21,2060,J,10,226
2019,2,200,21,2070,J,85,1986
2019,2,200,21,2110,J,21,489
2019,2,200,21,2120,J,1,27
2019,2,200,21,2130,J,36,863
2019,2,200,21,2140,J,16,394
2019,2,200,21,2150,J,9,223
2019,2,200,21,3000,J,46,1077
2019,2,200,21,3010,J,9,211
2019,2,200,21,3020,J,13,311
2019,2,200,21,3110,J,20,479
2019,2,200,21,3120,J,14,343
2019,2,200,21,3130,J,33,757
2019,2,200,21,3140,J,22,545
2019,2,200,21,3150,J,9,211
2019,2,200,21,4000,J,29,691
2019,2,200,21,4010,J,26,630
2019,2,200,21,4110,J,16,373
2019,2,200,21,4120,J,7,158
2019,2,200,21,4130,J,7,163
2019,2,200,21,4140,J,18,407
2019,2,200,21,5000,J,19,451
2019,2,200,21,5010,J,30,712
2019,2,200,21,5110,J,58,1370
2019,2,200,21,5120,J,31,744
